n,R,T,cohort_ever_entered,continuous_ever_entered,continuous_inside,late_entry,source_norm,maximum_normalized_direction_weight
6,1.0,0.05,0.5005356817694285,0.29867750943649696,0.005417955860124201,0.22349409521078814,0.03722706158981004,0.09597285603262842
6,1.0,0.1,0.6811500932316518,0.4249380369669442,0.00551686820389413,0.40410850667301124,0.03722706158981004,0.09597285603262842
6,1.0,0.25,0.8620867964483118,0.6361451047896121,0.005141351384805723,0.5850452098896712,0.03722706158981004,0.09597285603262842
6,3.0,0.05,0.08921377899702584,0.05514560017846564,0.0004681691817589668,0.0,0.003510195002582641,0.1239057357281108
6,3.0,0.1,0.08921377899702584,0.07217968958774573,0.0005813679332816635,0.0,0.003510195002582641,0.1239057357281108
6,3.0,0.25,0.19190873927070626,0.09681385559210262,0.00046628640007282995,0.10269496027368044,0.003510195002582641,0.1239057357281108
8,1.0,0.05,0.36463857590328713,0.29584150352635286,0.0044103153607715296,0.05251818606221914,0.037227753388825995,0.05702612453259152
8,1.0,0.1,0.44749454676645656,0.3555113507347388,0.003506764739442756,0.13537415692538857,0.037227753388825995,0.05702612453259152
8,1.0,0.25,0.8034812764192933,0.5436735526971744,0.004671904829230854,0.4913608865782255,0.037227753388825995,0.05702612453259152
8,3.0,0.05,0.05769091589197417,0.035589764056282065,0.0002742928386334708,0.0,0.0035279836865423388,0.08089578256589078
8,3.0,0.1,0.05769091589197417,0.04664033997412812,0.00036080190779586816,0.0,0.0035279836865423388,0.08089578256589078
8,3.0,0.25,0.20741373720768908,0.12241300507404017,0.00038922370836929146,0.1497228213157149,0.0035279836865423388,0.08089578256589078
12,1.0,0.05,0.41809580805997704,0.31593426935230123,0.004666012765782797,0.08165776861239572,0.037227719731340564,0.026561845468379718
12,1.0,0.1,0.5096507071663401,0.38691043231291383,0.004447481360191356,0.1732126677187587,0.037227719731340564,0.026561845468379718
12,1.0,0.25,0.6719748358087905,0.48608818828300365,0.0039067501275989605,0.33553679636120903,0.037227719731340564,0.026561845468379718
12,3.0,0.05,0.045252953840349386,0.027846356624021032,0.0003829863130224949,0.0,0.0035377953586239945,0.04213618203019578
12,3.0,0.1,0.08772859879845521,0.04883195438875024,0.0005080201671313828,0.042475644958105824,0.0035377953586239945,0.04213618203019578
12,3.0,0.25,0.2590961221030726,0.1337589918199242,0.0005829916090547825,0.21384316826272323,0.0035377953586239945,0.04213618203019578
