column_name,datatype,unit
solution_id,long,
pf,double,d
pf_error,float,d
p1_o,double,d
p1_o_error,float,d
epoch_g,double,d
epoch_g_error,float,d
epoch_bp,double,d
epoch_bp_error,float,d
epoch_rp,double,d
epoch_rp_error,float,d
epoch_rv,double,d
epoch_rv_error,float,d
int_average_g,float,mag
int_average_g_error,float,mag
int_average_bp,float,mag
int_average_bp_error,float,mag
int_average_rp,float,mag
int_average_rp_error,float,mag
average_rv,float,km.s**-1
average_rv_error,float,km.s**-1
peak_to_peak_g,float,mag
peak_to_peak_g_error,float,mag
peak_to_peak_bp,float,mag
peak_to_peak_bp_error,float,mag
peak_to_peak_rp,float,mag
peak_to_peak_rp_error,float,mag
peak_to_peak_rv,double,km.s**-1
peak_to_peak_rv_error,double,km.s**-1
metallicity,float,'dex'
metallicity_error,float,'dex'
r21_g,float,
r21_g_error,float,
r31_g,float,
r31_g_error,float,
phi21_g,float,rad
phi21_g_error,float,rad
phi31_g,float,rad
phi31_g_error,float,rad
num_clean_epochs_g,short,
num_clean_epochs_bp,short,
num_clean_epochs_rp,short,
num_clean_epochs_rv,short,
zp_mag_g,float,mag
zp_mag_bp,float,mag
zp_mag_rp,float,mag
num_harmonics_for_p1_g,short,
num_harmonics_for_p1_bp,short,
num_harmonics_for_p1_rp,short,
num_harmonics_for_p1_rv,short,
reference_time_g,double,d
reference_time_bp,double,d
reference_time_rp,double,d
reference_time_rv,double,d
fund_freq1,double,d**-1
fund_freq1_error,float,d**-1
fund_freq2,double,d**-1
fund_freq2_error,float,d**-1
fund_freq1_harmonic_ampl_g,float,mag
fund_freq1_harmonic_ampl_g_error,float,mag
fund_freq1_harmonic_phase_g,float,rad
fund_freq1_harmonic_phase_g_error,float,rad
fund_freq1_harmonic_ampl_bp,float,mag
fund_freq1_harmonic_ampl_bp_error,float,mag
fund_freq1_harmonic_phase_bp,float,rad
fund_freq1_harmonic_phase_bp_error,float,rad
fund_freq1_harmonic_ampl_rp,float,mag
fund_freq1_harmonic_ampl_rp_error,float,mag
fund_freq1_harmonic_phase_rp,float,rad
fund_freq1_harmonic_phase_rp_error,float,rad
fund_freq1_harmonic_ampl_rv,float,km.s**-1
fund_freq1_harmonic_ampl_rv_error,float,km.s**-1
fund_freq1_harmonic_phase_rv,float,rad
fund_freq1_harmonic_phase_rv_error,float,rad
p2_o,double,d
p2_o_error,float,d
type_best_classification,char,
type2_best_sub_classification,char,
mode_best_classification,char,
multi_mode_best_classification,char,
source_id,long,
