outer_kpc,p,bin,observed_training_proxy_kms,predicted_kms,residual_kms,role
30,2,0,242.02363428908103,202.42429541829608,-39.59933887078495,exposed training; not validation
30,2,1,236.55853057190697,205.69608580500054,-30.862444766906435,exposed training; not validation
30,2,2,235.62747355152325,208.77106476205228,-26.856408789470976,exposed training; not validation
30,2,3,231.0558613367288,212.23126472190665,-18.824596614822156,exposed training; not validation
30,2,4,228.067740156688,215.4999262518761,-12.567813904811885,exposed training; not validation
30,2,5,232.6478616303941,218.82857273021082,-13.819288900183267,exposed training; not validation
30,2,6,232.39570622478772,223.83110000781758,-8.564606216970134,exposed training; not validation
30,2,7,237.00980517622764,228.66076905190184,-8.349036124325806,exposed training; not validation
30,2,8,236.48630952309938,234.3821257404597,-2.104183782639666,exposed training; not validation
30,2,9,230.8513247241695,239.36307062781478,8.511745903645277,exposed training; not validation
30,2,10,223.0756248534913,245.841103145863,22.76547829237171,exposed training; not validation
30,2,11,226.22388369891485,253.15004574681296,26.926162047898117,exposed training; not validation
30,3,0,242.02363428908103,205.51166780073618,-36.511966488344854,exposed training; not validation
30,3,1,236.55853057190697,208.99453685958363,-27.563993712323338,exposed training; not validation
30,3,2,235.62747355152325,212.13502185916704,-23.492451692356212,exposed training; not validation
30,3,3,231.0558613367288,215.47751226120437,-15.578349075524443,exposed training; not validation
30,3,4,228.067740156688,218.45947776374973,-9.608262392938258,exposed training; not validation
30,3,5,232.6478616303941,221.37650288076594,-11.271358749628149,exposed training; not validation
30,3,6,232.39570622478772,225.6177622955247,-6.777943929263017,exposed training; not validation
30,3,7,237.00980517622764,229.61177469825353,-7.3980304779741175,exposed training; not validation
30,3,8,236.48630952309938,234.26058118077674,-2.2257283423226397,exposed training; not validation
30,3,9,230.8513247241695,238.2571724059437,7.4058476817741905,exposed training; not validation
30,3,10,223.0756248534913,243.3982591822783,20.322634328787018,exposed training; not validation
30,3,11,226.22388369891485,249.12893035846392,22.905046659549072,exposed training; not validation
100,2,0,242.02363428908103,199.71047473117426,-42.31315955790677,exposed training; not validation
100,2,1,236.55853057190697,202.7125607598944,-33.845969812012584,exposed training; not validation
100,2,2,235.62747355152325,205.64028977127748,-29.987183780245772,exposed training; not validation
100,2,3,231.0558613367288,209.11121698062232,-21.944644356106494,exposed training; not validation
100,2,4,228.067740156688,212.57132696746962,-15.496413189218373,exposed training; not validation
100,2,5,232.6478616303941,216.23216087964013,-16.415700750753956,exposed training; not validation
100,2,6,232.39570622478772,221.9149759706118,-10.48073025417591,exposed training; not validation
100,2,7,237.00980517622764,227.5433491345136,-9.466456041714054,exposed training; not validation
100,2,8,236.48630952309938,234.34029454978483,-2.14601497331455,exposed training; not validation
100,2,9,230.8513247241695,240.34379984184847,9.492475117678964,exposed training; not validation
100,2,10,223.0756248534913,248.254745522201,25.179120668709714,exposed training; not validation
100,2,11,226.22388369891485,257.31432034233404,31.090436643419196,exposed training; not validation
100,3,0,242.02363428908103,200.99350061523887,-41.03013367384216,exposed training; not validation
100,3,1,236.55853057190697,204.06761772333348,-32.49091284857349,exposed training; not validation
100,3,2,235.62747355152325,207.00202575673424,-28.62544779478901,exposed training; not validation
100,3,3,231.0558613367288,210.39691607171164,-20.658945265017167,exposed training; not validation
100,3,4,228.067740156688,213.71284258474452,-14.354897571943468,exposed training; not validation
100,3,5,232.6478616303941,217.1809803792526,-15.466881251141501,exposed training; not validation
100,3,6,232.39570622478772,222.524812284162,-9.870893940625706,exposed training; not validation
