[  279 s]        single, odd, f = 0.05 free         Ns 24 k   8.0 (q 3.266) nu  0.0 seed 1: output 3.064e-01, pull +7.294e-05 (quiet +8.011e-05, from sources +9.037e-05, radiators -7.168e-06), keeping step +0.50, rhythm spread 1.06e-05, E res -7.8e-12
[  284 s]        single, odd, f = 0.05 cold         Ns 24 k   0.0 (q 0.000) nu  0.0 seed 1: output 5.207e-02, pull +6.414e-05 (quiet +6.940e-05, from sources +8.056e-05, radiators -5.262e-06), keeping step +0.42, rhythm spread 1.91e-04, E res -1.3e-14
[  346 s]        single, odd, f = 0.05 cold         Ns 48 k   0.0 (q 0.000) nu  0.0 seed 1: output 1.122e-01, pull +5.827e-05 (quiet +6.385e-05, from sources +6.988e-05, radiators -5.576e-06), keeping step +0.25, rhythm spread 2.18e-04, E res 4.6e-14
[  641 s]        single, odd, f = 0.05 free         Ns 48 k   8.0 (q 3.266) nu  0.0 seed 1: output 5.298e-01, pull +2.946e-04 (quiet +3.245e-04, from sources +3.371e-04, radiators -2.990e-05), keeping step +0.88, rhythm spread 1.60e-04, E res -8.0e-12
[  939 s]        single, odd, f = 0.05 cold         Ns 24 k   0.0 (q 0.000) nu  0.0 seed 2: output 5.309e-02, pull +7.274e-05 (quiet +7.791e-05, from sources +8.329e-05, radiators -5.173e-06), keeping step +0.82, rhythm spread 2.10e-04, E res -5.2e-16
[ 1051 s]        single, odd, f = 0.05 cold         Ns 96 k   0.0 (q 0.000) nu  0.0 seed 1: output 2.311e-01, pull +1.051e-04 (quiet +1.151e-04, from sources +1.230e-04, radiators -9.947e-06), keeping step +0.58, rhythm spread 3.11e-04, E res -1.3e-14
[ 1102 s]        single, odd, f = 0.05 free         Ns 96 k   8.0 (q 3.266) nu  0.0 seed 1: output 1.265e+00, pull +2.595e-04 (quiet +2.878e-04, from sources +3.031e-04, radiators -2.837e-05), keeping step +0.78, rhythm spread 1.58e-04, E res -1.2e-11
[ 1232 s]        single, odd, f = 0.05 free         Ns 24 k   8.0 (q 3.266) nu  0.0 seed 2: output 3.189e-01, pull +2.168e-04 (quiet +2.375e-04, from sources +2.431e-04, radiators -2.076e-05), keeping step +0.77, rhythm spread 5.08e-06, E res -8.1e-12
[ 1421 s]        single, odd, f = 0.05 cold         Ns 48 k   0.0 (q 0.000) nu  0.0 seed 2: output 1.084e-01, pull +1.138e-04 (quiet +1.231e-04, from sources +1.258e-04, radiators -9.349e-06), keeping step +0.67, rhythm spread 2.51e-04, E res -4.8e-14
[ 1464 s]        single, odd, f = 0.05 free         Ns 48 k   8.0 (q 3.266) nu  0.0 seed 2: output 6.201e-01, pull +1.806e-04 (quiet +2.007e-04, from sources +2.117e-04, radiators -2.008e-05), keeping step +0.54, rhythm spread 2.76e-05, E res -1.0e-11
[ 1957 s]        single, odd, f = 0.05 cold         Ns 96 k   0.0 (q 0.000) nu  0.0 seed 2: output 2.249e-01, pull +1.289e-04 (quiet +1.398e-04, from sources +1.436e-04, radiators -1.088e-05), keeping step +0.64, rhythm spread 2.03e-04, E res -5.4e-14
[ 2129 s]        single, odd, f = 0.05 free         Ns 96 k   8.0 (q 3.266) nu  0.0 seed 2: output 1.223e+00, pull +3.519e-04 (quiet +3.900e-04, from sources +4.120e-04, radiators -3.813e-05), keeping step +0.99, rhythm spread 8.18e-05, E res -1.1e-11
wrote run-one-matter-v17/oneway_mass.json
