CID,z,width,bands,err
1246275,0.24651,1.2676300668945313,4,0.07480523389246053
1246281,0.336,1.3701828125,4,0.08008957706235677
1246314,0.38388,1.5171325078124998,3,0.0980510476614554
1246527,0.32184,1.3240344609374999,4,0.07501980492660418
1246529,0.49797,1.6188998697916668,3,0.09967639949916278
1246626,0.39392,1.2770340000000002,3,0.10368979916232611
1246650,0.91042,1.79363065234375,2,0.16329387982312574
1246717,0.535,1.5452932942708333,3,0.11762500150022337
1246758,0.53249,1.528623854980469,3,0.1150440697465658
1246791,0.83213,1.6875634921874996,2,0.1507253634237775
1247022,0.35859,1.4045618198242187,4,0.09658774319482724
1247420,0.15123,1.215761837890625,2,0.11046972789431526
1247537,0.45687,1.536258033203125,3,0.10075989705955662
1247570,0.5806,1.5662963932291667,3,0.11590376315270484
1248039,0.22666,1.1408896328125002,4,0.07109564398889923
1248084,0.28165,1.4248343359375,3,0.09082936169017693
1248243,0.32489,1.4903071743164067,4,0.07818285608160991
1248441,0.24567,1.0692811816406245,2,0.11307228044023336
1248677,0.35067,1.5238564951171878,4,0.08824232184165307
1248907,0.1714,1.256948043619792,3,0.0846919595931729
1248925,0.34408,1.3590433906249997,4,0.0848395847305221
1248936,0.57208,1.4535599062500004,3,0.12466700917072517
1248962,0.48452,1.5233726718750003,3,0.11253900489007236
1249090,0.38724,1.1260487187499992,3,0.09850250944664053
1249137,0.22397,1.2281534912109375,4,0.07095365045309987
1249178,0.76649,2.060444976562502,3,0.32848491477435104
1249182,0.56135,1.9648004003906254,2,0.14495686571747973
1249209,0.48424,1.6135312187500004,3,0.2123719299295402
1249245,0.36932,1.4150531484375002,4,0.08171715733416311
1249264,0.55081,1.470846359375,3,0.10632924233801655
1249304,0.63802,1.806567565755208,3,0.12204543989364382
1249308,0.22896,1.324012375,4,0.07364305136934664
1249371,0.45191,1.4897674189453123,2,0.11979828971218176
1249395,0.55626,1.6684708040364586,3,0.11036469920867248
1249483,0.28398,1.4104031284179692,4,0.07619511745847427
